"runtime","image_name","ressource_limit","number_of_targets","targetId","repeat","completed_requests","failed_requests","requests_per_second","request_duration","filepath"
"default","go-httpd","default","1","1","1","1297097","0","21618.09","60.001","/opt/auswertung/Raw/ab_dauer_testreihe/apache_benchmark_60s/default/default/go-httpd/target_count_1/repeat_1/1.txt"
"default","go-httpd","default","1","1","10","1311296","0","21854.68","60.001","/opt/auswertung/Raw/ab_dauer_testreihe/apache_benchmark_60s/default/default/go-httpd/target_count_1/repeat_10/1.txt"
"default","go-httpd","default","1","1","11","1301351","0","21688.64","60.002","/opt/auswertung/Raw/ab_dauer_testreihe/apache_benchmark_60s/default/default/go-httpd/target_count_1/repeat_11/1.txt"
"default","go-httpd","default","1","1","12","1313948","0","21899.07","60.000","/opt/auswertung/Raw/ab_dauer_testreihe/apache_benchmark_60s/default/default/go-httpd/target_count_1/repeat_12/1.txt"
"default","go-httpd","default","1","1","13","1299452","0","21657.48","60.000","/opt/auswertung/Raw/ab_dauer_testreihe/apache_benchmark_60s/default/default/go-httpd/target_count_1/repeat_13/1.txt"
"default","go-httpd","default","1","1","14","1300008","0","21666.28","60.001","/opt/auswertung/Raw/ab_dauer_testreihe/apache_benchmark_60s/default/default/go-httpd/target_count_1/repeat_14/1.txt"
"default","go-httpd","default","1","1","15","1305767","0","21762.48","60.001","/opt/auswertung/Raw/ab_dauer_testreihe/apache_benchmark_60s/default/default/go-httpd/target_count_1/repeat_15/1.txt"
"default","go-httpd","default","1","1","16","1306875","0","21780.79","60.001","/opt/auswertung/Raw/ab_dauer_testreihe/apache_benchmark_60s/default/default/go-httpd/target_count_1/repeat_16/1.txt"
"default","go-httpd","default","1","1","17","1291875","0","21531.00","60.001","/opt/auswertung/Raw/ab_dauer_testreihe/apache_benchmark_60s/default/default/go-httpd/target_count_1/repeat_17/1.txt"
"default","go-httpd","default","1","1","18","1304523","0","21741.73","60.001","/opt/auswertung/Raw/ab_dauer_testreihe/apache_benchmark_60s/default/default/go-httpd/target_count_1/repeat_18/1.txt"
"default","go-httpd","default","1","1","19","1308979","0","21815.93","60.001","/opt/auswertung/Raw/ab_dauer_testreihe/apache_benchmark_60s/default/default/go-httpd/target_count_1/repeat_19/1.txt"
"default","go-httpd","default","1","1","2","1321974","0","22032.57","60.001","/opt/auswertung/Raw/ab_dauer_testreihe/apache_benchmark_60s/default/default/go-httpd/target_count_1/repeat_2/1.txt"
"default","go-httpd","default","1","1","20","1304196","0","21736.22","60.001","/opt/auswertung/Raw/ab_dauer_testreihe/apache_benchmark_60s/default/default/go-httpd/target_count_1/repeat_20/1.txt"
"default","go-httpd","default","1","1","21","1292443","0","21540.27","60.001","/opt/auswertung/Raw/ab_dauer_testreihe/apache_benchmark_60s/default/default/go-httpd/target_count_1/repeat_21/1.txt"
