image_name,runtime,ressource_limit,mean,std,konf_intervall_unten,konf_intervall_oben,abweichung,type,docker_abweichung
nginx,katafc,default,"1,61","0,06","1,59","1,63","1,08",rm,"174,8"
nginx,katafc,max,"1,61","0,07","1,59","1,63","1,17",rm,"171,71"
nginx,katafc,min,"1,57","0,05","1,56","1,59","0,93",rm,"170,29"
nginx,runsc,default,"1,01","0,05","1,0","1,03","1,28",rm,"110,13"
nginx,runsc,max,"1,02","0,05","1,01","1,04","1,43",rm,"108,84"
nginx,runsc,min,"1,02","0,07","1,0","1,04","2,0",rm,"110,58"
node-express,default,default,"1,01","0,05","0,99","1,02","1,48",rm,"100,0"
node-express,default,max,"1,01","0,04","1,0","1,03","1,14",rm,"100,0"
node-express,default,min,"1,04","0,17","0,99","1,09","4,6",rm,"100,0"
node-express,kata,default,"1,37","0,06","1,35","1,39","1,33",rm,"136,43"
node-express,kata,max,"1,38","0,07","1,36","1,4","1,43",rm,"136,26"
node-express,kata,min,"1,37","0,05","1,36","1,39","1,1",rm,"132,04"
node-express,katafc,default,"1,76","0,14","1,72","1,8","2,21",rm,"174,93"
node-express,katafc,max,"1,76","0,11","1,73","1,79","1,75",rm,"173,67"
node-express,katafc,min,"1,74","0,07","1,72","1,76","1,08",rm,"166,92"
node-express,runnc,default,"0,78","0,16","0,73","0,83","5,99",rm,"77,56"
node-express,runnc,max,"0,73","0,05","0,72","0,75","1,94",rm,"72,16"
node-express,runnc,min,"0,69","0,04","0,68","0,7","1,73",rm,"66,37"
node-express,runsc,default,"1,09","0,05","1,07","1,11","1,42",rm,"108,31"
node-express,runsc,max,"1,09","0,05","1,08","1,11","1,4",rm,"107,83"
node-express,runsc,min,"1,12","0,05","1,11","1,14","1,38",rm,"107,79"
postgres,default,default,"0,97","0,04","0,96","0,98","1,14",rm,"100,0"
postgres,default,max,"0,96","0,04","0,95","0,97","1,21",rm,"100,0"
postgres,default,min,"0,97","0,04","0,96","0,98","1,31",rm,"100,0"
postgres,kata,default,"1,37","0,04","1,36","1,38","0,84",rm,"141,01"
postgres,kata,max,"1,39","0,05","1,37","1,4","1,01",rm,"144,22"
postgres,kata,min,"1,37","0,05","1,36","1,39","0,95",rm,"141,85"
postgres,katafc,default,"2,11","0,55","1,95","2,27","7,46",rm,"217,2"
postgres,katafc,max,"2,27","0,65","2,08","2,45","8,23",rm,"235,56"
postgres,katafc,min,"1,83","0,21","1,77","1,89","3,21",rm,"189,42"
postgres,runsc,default,"1,03","0,04","1,02","1,05","1,08",rm,"106,43"
postgres,runsc,max,"1,04","0,04","1,03","1,05","1,0",rm,"107,86"
postgres,runsc,min,"1,02","0,05","1,01","1,03","1,38",rm,"105,34"
python-tornado,default,default,"1,3","0,2","1,24","1,35","4,49",rm,"100,0"
python-tornado,default,max,"1,38","0,39","1,27","1,5","8,11",rm,"100,0"
python-tornado,default,min,"1,19","0,18","1,14","1,24","4,32",rm,"100,0"
python-tornado,kata,default,"1,84","0,48","1,71","1,98","7,5",rm,"142,23"
python-tornado,kata,max,"1,66","0,44","1,53","1,79","7,65",rm,"119,97"
python-tornado,kata,min,"2,17","0,52","2,02","2,32","6,81",rm,"182,47"
python-tornado,katafc,default,"1,95","0,33","1,85","2,04","4,88",rm,"150,06"
python-tornado,katafc,max,"2,03","0,31","1,94","2,12","4,42",rm,"146,86"
python-tornado,katafc,min,"2,0","0,27","1,92","2,07","3,83",rm,"167,82"
python-tornado,runnc,default,"0,74","0,23","0,68","0,81","8,97",rm,"57,44"
python-tornado,runnc,max,"0,64","0,24","0,57","0,7","10,65",rm,"45,9"
python-tornado,runnc,min,"0,5","0,13","0,46","0,54","7,49",rm,"41,95"
python-tornado,runsc,default,"0,98","0,05","0,96","0,99","1,49",rm,"75,41"
python-tornado,runsc,max,"0,97","0,05","0,96","0,99","1,59",rm,"70,39"
python-tornado,runsc,min,"0,99","0,06","0,97","1,0","1,68",rm,"82,99"
redis-test,default,default,"0,89","0,04","0,88","0,9","1,31",rm,"100,0"
redis-test,default,max,"0,9","0,03","0,89","0,91","1,06",rm,"100,0"
redis-test,default,min,"0,89","0,04","0,88","0,9","1,34",rm,"100,0"
redis-test,kata,default,"1,19","0,06","1,17","1,21","1,41",rm,"133,57"
redis-test,kata,max,"1,22","0,08","1,2","1,24","1,8",rm,"134,95"
redis-test,kata,min,"1,23","0,1","1,2","1,26","2,32",rm,"138,47"
redis-test,katafc,default,"1,43","0,08","1,41","1,45","1,59",rm,"160,74"
redis-test,katafc,max,"1,49","0,11","1,46","1,53","2,17",rm,"165,3"
redis-test,katafc,min,"1,44","0,06","1,42","1,46","1,15",rm,"161,67"
redis-test,runnc,default,"0,51","0,04","0,5","0,52","2,14",rm,"56,88"
redis-test,runnc,max,"0,49","0,05","0,47","0,5","3,01",rm,"53,85"
redis-test,runnc,min,"0,43","0,04","0,42","0,44","2,5",rm,"48,68"
redis-test,runsc,default,"1,0","0,13","0,96","1,03","3,63",rm,"111,96"
redis-test,runsc,max,"1,0","0,18","0,95","1,05","5,02",rm,"110,75"
redis-test,runsc,min,"0,99","0,05","0,97","1,0","1,41",rm,"110,66"
tomcat,default,default,"0,98","0,03","0,97","0,99","1,01",rm,"100,0"
tomcat,default,max,"1,02","0,16","0,98","1,07","4,5",rm,"100,0"
tomcat,default,min,"1,02","0,08","0,99","1,04","2,27",rm,"100,0"
tomcat,kata,default,"1,34","0,04","1,33","1,35","0,85",rm,"136,01"
tomcat,kata,max,"1,37","0,06","1,35","1,39","1,26",rm,"134,28"
tomcat,kata,min,"1,37","0,04","1,36","1,38","0,91",rm,"134,84"
tomcat,katafc,default,"1,73","0,09","1,7","1,76","1,56",rm,"175,55"
tomcat,katafc,max,"1,8","0,13","1,76","1,83","2,04",rm,"175,95"
tomcat,katafc,min,"1,73","0,06","1,71","1,74","0,93",rm,"169,63"
tomcat,runsc,default,"1,08","0,05","1,06","1,09","1,44",rm,"109,63"
tomcat,runsc,max,"1,09","0,1","1,06","1,12","2,66",rm,"106,37"
tomcat,runsc,min,"1,07","0,04","1,06","1,08","0,97",rm,"104,99"
traefik,default,default,"0,9","0,04","0,88","0,91","1,34",rm,"100,0"
traefik,default,max,"0,89","0,04","0,88","0,91","1,4",rm,"100,0"
traefik,default,min,"0,88","0,04","0,87","0,9","1,17",rm,"100,0"
traefik,kata,default,"1,26","0,03","1,25","1,26","0,73",rm,"140,22"
traefik,kata,max,"1,26","0,06","1,25","1,28","1,27",rm,"141,56"
traefik,kata,min,"1,28","0,04","1,27","1,29","0,99",rm,"144,73"
traefik,katafc,default,"1,64","0,1","1,61","1,67","1,8",rm,"183,08"
traefik,katafc,max,"1,66","0,09","1,64","1,69","1,46",rm,"186,13"
traefik,katafc,min,"1,62","0,07","1,6","1,64","1,18",rm,"183,36"
traefik,runsc,default,"0,99","0,04","0,98","1,0","1,03",rm,"110,33"
traefik,runsc,max,"1,0","0,06","0,98","1,02","1,84",rm,"111,8"
traefik,runsc,min,"0,99","0,05","0,98","1,0","1,33",rm,"111,82"
ubuntu,default,default,"0,52","0,13","0,48","0,56","7,12",rm,"100,0"
ubuntu,default,max,"0,5","0,06","0,49","0,52","3,33",rm,"100,0"
ubuntu,default,min,"0,46","0,05","0,45","0,48","3,28",rm,"100,0"
ubuntu,kata,default,"0,72","0,08","0,7","0,74","3,18",rm,"138,57"
ubuntu,kata,max,"0,76","0,08","0,73","0,78","3,21",rm,"150,28"
ubuntu,kata,min,"0,66","0,06","0,64","0,67","2,48",rm,"141,58"
ubuntu,katafc,default,"0,69","0,17","0,64","0,73","7,06",rm,"132,33"
ubuntu,katafc,max,"0,78","0,14","0,74","0,82","5,12",rm,"155,51"
ubuntu,katafc,min,"0,82","0,05","0,8","0,83","1,69",rm,"176,2"
ubuntu,runsc,default,"0,56","0,06","0,54","0,58","3,16",rm,"108,48"
ubuntu,runsc,max,"0,54","0,06","0,53","0,56","3,27",rm,"108,31"
ubuntu,runsc,min,"0,5","0,05","0,49","0,52","2,83",rm,"108,23"
alpine,default,default,"0,79","0,04","0,78","0,8","1,36",up,"100,0"
alpine,default,max,"0,81","0,04","0,8","0,82","1,33",up,"100,0"
alpine,default,min,"0,8","0,04","0,79","0,81","1,26",up,"100,0"
alpine,kata,default,"1,39","0,04","1,38","1,4","0,78",up,"176,16"
alpine,kata,max,"1,81","0,06","1,79","1,83","1,01",up,"223,05"
alpine,kata,min,"1,44","0,05","1,43","1,46","0,91",up,"180,26"
alpine,katafc,default,"2,78","0,18","2,73","2,83","1,86",up,"352,22"
alpine,katafc,max,"2,66","0,18","2,61","2,71","1,89",up,"327,06"
alpine,katafc,min,"2,58","0,04","2,57","2,6","0,46",up,"323,09"
alpine,runsc,default,"0,84","0,04","0,83","0,85","1,36",up,"106,55"
alpine,runsc,max,"0,85","0,04","0,84","0,86","1,25",up,"104,84"
alpine,runsc,min,"0,84","0,04","0,83","0,85","1,32",up,"105,34"
