runtime,image_name,ressource_limit,number_of_targets,std,mean,abweichung_in_prozent,konf_intervall_unten,konf_intervall_oben,docker_abweichung
default,python-tornado,max,3,47.57,5221.02,0.26,5207.42,5234.62,100.0
default,python-tornado,max,5,46.57,7658.55,0.17,7645.24,7671.86,100.0
default,python-tornado,max,8,35.38,8283.03,0.12,8272.92,8293.14,100.0
default,python-tornado,max,13,51.78,9104.35,0.16,9089.55,9119.15,100.0
default,python-tornado,max,21,54.54,10505.0,0.15,10489.41,10520.59,100.0
default,python-tornado,min,1,71.52,1826.55,1.12,1806.11,1846.99,100.0
default,python-tornado,min,2,46.44,3569.8,0.37,3556.53,3583.07,100.0
default,python-tornado,min,3,29.83,5234.21,0.16,5225.68,5242.74,100.0
default,python-tornado,min,5,38.33,7656.18,0.14,7645.22,7667.13,100.0
default,python-tornado,min,8,40.29,8285.93,0.14,8274.42,8297.45,100.0
default,python-tornado,min,13,50.56,9099.4,0.16,9084.95,9113.85,100.0
default,python-tornado,min,21,75.4,10549.89,0.2,10528.34,10571.44,100.0
default,tomcat,default,1,537.13,16519.37,0.93,16365.85,16672.89,100.0
default,tomcat,default,2,147.45,25574.48,0.16,25532.33,25616.62,100.0
default,tomcat,default,3,127.6,23740.77,0.15,23704.3,23777.24,100.0
default,tomcat,default,5,405.27,21785.12,0.53,21669.29,21900.95,100.0
default,tomcat,default,8,270.94,21884.78,0.35,21807.34,21962.21,100.0
default,tomcat,default,13,327.71,22487.95,0.42,22394.29,22581.62,100.0
default,tomcat,default,21,535.46,23592.54,0.65,23439.5,23745.58,100.0
default,tomcat,max,1,269.64,15851.81,0.49,15774.75,15928.88,100.0
default,tomcat,max,2,134.45,25642.08,0.15,25603.66,25680.51,100.0
default,tomcat,max,3,150.82,23737.04,0.18,23693.93,23780.14,100.0
default,tomcat,max,5,276.28,21803.01,0.36,21724.04,21881.97,100.0
default,tomcat,max,8,273.92,21808.15,0.36,21729.86,21886.44,100.0
default,tomcat,max,13,339.87,22341.32,0.43,22244.18,22438.46,100.0
default,tomcat,max,21,462.39,23013.67,0.57,22881.51,23145.82,100.0
default,tomcat,min,1,35.39,903.07,1.12,892.95,913.18,100.0
default,tomcat,min,2,54.21,2232.2,0.69,2216.7,2247.69,100.0
default,tomcat,min,3,99.21,3449.53,0.82,3421.18,3477.89,100.0
default,tomcat,min,5,179.73,21073.55,0.24,21022.19,21124.92,100.0
default,tomcat,min,8,181.55,21422.24,0.24,21370.35,21474.13,100.0
default,tomcat,min,13,228.59,22001.87,0.3,21936.54,22067.2,100.0
default,tomcat,min,21,367.16,24248.15,0.43,24143.21,24353.09,100.0
kata,go-httpd,default,1,242.77,16436.86,0.42,16367.47,16506.24,78.23
kata,go-httpd,default,2,585.88,30137.01,0.56,29969.56,30304.47,112.48
kata,go-httpd,default,3,260.33,29738.0,0.25,29663.59,29812.4,113.77
kata,go-httpd,default,5,354.03,33333.8,0.3,33232.61,33434.99,129.06
kata,go-httpd,default,8,451.38,39806.62,0.32,39677.61,39935.63,146.95
kata,go-httpd,default,13,834.81,49929.56,0.48,49690.96,50168.16,173.04
kata,go-httpd,default,21,2105.45,60969.46,0.99,60367.7,61571.23,191.93
kata,go-httpd,max,1,200.25,19276.83,0.3,19219.59,19334.06,88.36
kata,go-httpd,max,2,232.99,28063.36,0.24,27996.77,28129.95,102.52
kata,go-httpd,max,3,403.13,31837.2,0.36,31721.98,31952.42,118.93
