"runtime","image_name","ressource_limit","repeat","gflops","filepath"
"kata","linpack","default","15","1.2190e+01","/opt/auswertung/Raw/bench_linpack_repeat35/default/kata/linpack/repeat_15/linpack.txt"
"kata","linpack","default","16","1.2176e+01","/opt/auswertung/Raw/bench_linpack_repeat35/default/kata/linpack/repeat_16/linpack.txt"
"kata","linpack","default","17","1.2198e+01","/opt/auswertung/Raw/bench_linpack_repeat35/default/kata/linpack/repeat_17/linpack.txt"
"kata","linpack","default","18","1.2218e+01","/opt/auswertung/Raw/bench_linpack_repeat35/default/kata/linpack/repeat_18/linpack.txt"
"kata","linpack","default","19","1.2195e+01","/opt/auswertung/Raw/bench_linpack_repeat35/default/kata/linpack/repeat_19/linpack.txt"
"kata","linpack","default","2","1.2194e+01","/opt/auswertung/Raw/bench_linpack_repeat35/default/kata/linpack/repeat_2/linpack.txt"
"kata","linpack","default","20","1.2187e+01","/opt/auswertung/Raw/bench_linpack_repeat35/default/kata/linpack/repeat_20/linpack.txt"
"kata","linpack","default","21","1.2188e+01","/opt/auswertung/Raw/bench_linpack_repeat35/default/kata/linpack/repeat_21/linpack.txt"
"kata","linpack","default","22","1.2196e+01","/opt/auswertung/Raw/bench_linpack_repeat35/default/kata/linpack/repeat_22/linpack.txt"
"kata","linpack","default","23","1.2205e+01","/opt/auswertung/Raw/bench_linpack_repeat35/default/kata/linpack/repeat_23/linpack.txt"
"kata","linpack","default","24","1.2195e+01","/opt/auswertung/Raw/bench_linpack_repeat35/default/kata/linpack/repeat_24/linpack.txt"
"kata","linpack","default","25","1.2196e+01","/opt/auswertung/Raw/bench_linpack_repeat35/default/kata/linpack/repeat_25/linpack.txt"
"kata","linpack","default","26","1.2192e+01","/opt/auswertung/Raw/bench_linpack_repeat35/default/kata/linpack/repeat_26/linpack.txt"
"kata","linpack","default","27","1.2188e+01","/opt/auswertung/Raw/bench_linpack_repeat35/default/kata/linpack/repeat_27/linpack.txt"
"kata","linpack","default","28","1.2207e+01","/opt/auswertung/Raw/bench_linpack_repeat35/default/kata/linpack/repeat_28/linpack.txt"
