runtime,image_name,ressource_limit,number_of_targets,std,mean,abweichung_in_prozent,konf_intervall_unten,konf_intervall_oben,docker_abweichung
runsc,go-httpd,max,2,"11,53","486,66","0,68","483,36","489,95","136,46"
runsc,go-httpd,max,3,"16,59","684,26","0,69","679,52","689,0","162,76"
runsc,go-httpd,max,5,"28,53","1107,63","0,74","1099,47","1115,78","194,98"
runsc,go-httpd,max,8,"48,65","1782,11","0,78","1768,21","1796,02","201,82"
runsc,go-httpd,max,13,"105,73","2962,29","1,02","2932,07","2992,5","184,05"
runsc,go-httpd,max,21,"229,61","5191,06","1,26","5125,43","5256,68","159,56"
runsc,go-httpd,min,1,"7,07","303,8","0,67","301,78","305,82","106,52"
runsc,go-httpd,min,2,"6,37","372,8","0,49","370,98","374,62","108,78"
runsc,go-httpd,min,3,"6,72","454,03","0,42","452,11","455,95","109,32"
runsc,go-httpd,min,5,"23,93","704,63","0,97","697,79","711,47","124,59"
runsc,go-httpd,min,8,"56,93","1446,94","1,12","1430,67","1463,21","166,34"
runsc,go-httpd,min,13,"100,26","2648,11","1,08","2619,46","2676,77","166,75"
runsc,go-httpd,min,21,"222,64","4852,03","1,31","4788,4","4915,66","152,08"
runsc,nginx,default,1,"442,75","2158,26","5,86","2031,71","2284,8","96,12"
runsc,nginx,default,2,"12,84","1903,54","0,19","1899,87","1907,21","114,34"
runsc,nginx,default,3,"7,13","1922,17","0,11","1920,13","1924,21","118,85"
runsc,nginx,default,5,"40,83","2147,14","0,54","2135,47","2158,81","128,73"
runsc,nginx,default,8,"50,61","2461,89","0,59","2447,42","2476,35","134,58"
runsc,nginx,default,13,"86,94","3092,89","0,8","3068,04","3117,74","136,84"
runsc,nginx,default,21,"181,98","4387,06","1,19","4335,05","4439,07","133,11"
runsc,nginx,max,1,"516,61","2034,34","7,26","1886,69","2182,0","97,35"
runsc,nginx,max,2,"19,94","1609,51","0,35","1603,82","1615,21","102,77"
runsc,nginx,max,3,"6,06","1632,89","0,11","1631,15","1634,62","105,12"
runsc,nginx,max,5,"37,51","1864,6","0,57","1853,88","1875,32","112,96"
runsc,nginx,max,8,"39,48","2170,23","0,52","2158,94","2181,51","121,29"
runsc,nginx,max,13,"81,26","2792,23","0,83","2769,0","2815,45","124,08"
runsc,nginx,max,21,"199,96","4199,09","1,36","4141,93","4256,24","124,58"
runsc,nginx,min,1,"401,42","1816,69","6,32","1701,96","1931,42","85,09"
runsc,nginx,min,2,"10,4","1543,91","0,19","1540,94","1546,89","102,47"
runsc,nginx,min,3,"13,53","1557,43","0,25","1553,56","1561,3","104,12"
runsc,nginx,min,5,"37,82","1773,09","0,61","1762,28","1783,9","111,61"
runsc,nginx,min,8,"42,18","2067,23","0,58","2055,17","2079,28","119,63"
runsc,nginx,min,13,"88,0","2668,91","0,94","2643,76","2694,07","122,8"
runsc,nginx,min,21,"184,53","4040,31","1,31","3987,57","4093,06","124,74"
runsc,python-tornado,default,1,"726,19","2303,6","9,01","2096,04","2511,16","113,16"
runsc,python-tornado,default,2,"24,1","1818,91","0,38","1812,03","1825,8","118,33"
runsc,python-tornado,default,3,"10,04","1864,4","0,15","1861,53","1867,27","122,09"
runsc,python-tornado,default,5,"30,16","2123,26","0,41","2114,64","2131,88","128,31"
runsc,python-tornado,default,8,"39,58","2539,83","0,45","2528,52","2551,14","132,2"
runsc,python-tornado,default,13,"60,46","3237,34","0,53","3220,06","3254,62","129,14"
runsc,python-tornado,default,21,"108,3","4526,03","0,68","4495,08","4556,98","123,0"
runsc,python-tornado,max,1,"533,42","1936,6","7,87","1784,14","2089,06","97,91"
runsc,python-tornado,max,2,"27,17","1484,31","0,52","1476,55","1492,08","100,98"
runsc,python-tornado,max,3,"10,82","1527,89","0,2","1524,79","1530,98","103,24"
runsc,python-tornado,max,5,"29,19","1788,8","0,47","1780,46","1797,14","109,8"
runsc,python-tornado,max,8,"27,1","2186,63","0,35","2178,88","2194,38","114,57"
runsc,python-tornado,max,13,"61,84","2934,26","0,6","2916,58","2951,93","118,44"
runsc,python-tornado,max,21,"121,77","4271,54","0,81","4236,74","4306,35","116,37"
runsc,python-tornado,min,1,"558,71","1852,06","8,62","1692,37","2011,75","102,46"
runsc,python-tornado,min,2,"30,78","1367,69","0,64","1358,89","1376,48","99,49"
runsc,python-tornado,min,3,"13,56","1349,71","0,29","1345,84","1353,59","97,09"
runsc,python-tornado,min,5,"25,44","1551,23","0,47","1543,96","1558,5","100,05"
runsc,python-tornado,min,8,"34,21","1950,66","0,5","1940,88","1960,44","106,53"
runsc,python-tornado,min,13,"53,84","2686,37","0,57","2670,98","2701,76","111,77"
runsc,python-tornado,min,21,"128,48","4013,49","0,91","3976,76","4050,21","111,14"
runsc,tomcat,default,1,"395,06","1435,94","7,86","1323,03","1548,86","67,82"
runsc,tomcat,default,2,"21,56","1172,0","0,53","1165,84","1178,16","65,04"
runsc,tomcat,default,3,"10,09","1228,2","0,23","1225,32","1231,08","63,86"
runsc,tomcat,default,5,"25,5","1456,03","0,5","1448,74","1463,32","61,98"
runsc,tomcat,default,8,"29,32","1774,83","0,47","1766,45","1783,21","57,61"
runsc,tomcat,default,13,"56,59","2348,83","0,69","2332,65","2365,0","52,95"
runsc,tomcat,default,21,"99,19","3327,03","0,85","3298,68","3355,38","46,9"
runsc,tomcat,max,1,"8,76","310,37","0,81","307,87","312,87","13,04"
runsc,tomcat,max,2,"6,63","391,94","0,48","390,05","393,84","20,1"
runsc,tomcat,max,3,"8,72","494,8","0,5","492,31","497,29","23,67"
runsc,tomcat,max,5,"23,29","727,77","0,91","721,11","734,43","28,35"
runsc,tomcat,max,8,"39,68","1108,71","1,02","1097,37","1120,06","33,41"
runsc,tomcat,max,13,"67,7","1760,83","1,1","1741,48","1780,18","37,61"
runsc,tomcat,max,21,"339,09","2940,17","3,3","2843,25","3037,09","40,13"
runsc,tomcat,min,1,"5,92","327,09","0,52","325,39","328,78","17,13"
runsc,tomcat,min,2,"4,9","380,71","0,37","379,31","382,11","25,44"
runsc,tomcat,min,3,"5,83","437,94","0,38","436,28","439,61","28,46"
runsc,tomcat,min,5,"22,98","646,23","1,02","639,66","652,8","36,11"
runsc,tomcat,min,8,"35,27","1007,29","1,0","997,21","1017,37","43,1"
runsc,tomcat,min,13,"59,14","1581,74","1,07","1564,84","1598,65","46,43"
runsc,tomcat,min,21,"103,43","2564,6","1,15","2535,04","2594,16","46,16"
