"ab_duration","runtime","image_name","ressource_limit","number_of_targets","targetId","repeat","completed_requests","failed_requests","requests_per_second","request_duration","filepath"
"30","default","go-httpd","default","1","1","25","652293","0","21742.67","30.001","/opt/auswertung/Raw/ab_dauer_testreihe/apache_benchmark_30s/default/default/go-httpd/target_count_1/repeat_25/1.txt"
"30","default","go-httpd","default","1","1","26","648819","0","21627.26","30.000","/opt/auswertung/Raw/ab_dauer_testreihe/apache_benchmark_30s/default/default/go-httpd/target_count_1/repeat_26/1.txt"
"30","default","go-httpd","default","1","1","27","643564","0","21451.68","30.001","/opt/auswertung/Raw/ab_dauer_testreihe/apache_benchmark_30s/default/default/go-httpd/target_count_1/repeat_27/1.txt"
"30","default","go-httpd","default","1","1","28","663837","0","22127.31","30.001","/opt/auswertung/Raw/ab_dauer_testreihe/apache_benchmark_30s/default/default/go-httpd/target_count_1/repeat_28/1.txt"
"30","default","go-httpd","default","1","1","29","654042","0","21800.67","30.001","/opt/auswertung/Raw/ab_dauer_testreihe/apache_benchmark_30s/default/default/go-httpd/target_count_1/repeat_29/1.txt"
"30","default","go-httpd","default","1","1","3","651552","0","21717.55","30.001","/opt/auswertung/Raw/ab_dauer_testreihe/apache_benchmark_30s/default/default/go-httpd/target_count_1/repeat_3/1.txt"
"30","default","go-httpd","default","1","1","30","646703","0","21555.69","30.001","/opt/auswertung/Raw/ab_dauer_testreihe/apache_benchmark_30s/default/default/go-httpd/target_count_1/repeat_30/1.txt"
"30","default","go-httpd","default","1","1","31","646263","0","21541.70","30.001","/opt/auswertung/Raw/ab_dauer_testreihe/apache_benchmark_30s/default/default/go-httpd/target_count_1/repeat_31/1.txt"
"30","default","go-httpd","default","1","1","32","641615","0","21386.37","30.001","/opt/auswertung/Raw/ab_dauer_testreihe/apache_benchmark_30s/default/default/go-httpd/target_count_1/repeat_32/1.txt"
"30","default","go-httpd","default","1","1","33","656230","0","21874.24","30.000","/opt/auswertung/Raw/ab_dauer_testreihe/apache_benchmark_30s/default/default/go-httpd/target_count_1/repeat_33/1.txt"
"30","default","go-httpd","default","1","1","34","651048","0","21700.75","30.001","/opt/auswertung/Raw/ab_dauer_testreihe/apache_benchmark_30s/default/default/go-httpd/target_count_1/repeat_34/1.txt"
"30","default","go-httpd","default","1","1","35","653351","0","21778.09","30.000","/opt/auswertung/Raw/ab_dauer_testreihe/apache_benchmark_30s/default/default/go-httpd/target_count_1/repeat_35/1.txt"
"30","default","go-httpd","default","1","1","36","655570","0","21851.73","30.001","/opt/auswertung/Raw/ab_dauer_testreihe/apache_benchmark_30s/default/default/go-httpd/target_count_1/repeat_36/1.txt"
"30","default","go-httpd","default","1","1","37","643493","0","21449.38","30.001","/opt/auswertung/Raw/ab_dauer_testreihe/apache_benchmark_30s/default/default/go-httpd/target_count_1/repeat_37/1.txt"
"30","default","go-httpd","default","1","1","38","644630","0","21487.51","30.000","/opt/auswertung/Raw/ab_dauer_testreihe/apache_benchmark_30s/default/default/go-httpd/target_count_1/repeat_38/1.txt"
"30","default","go-httpd","default","1","1","39","645156","0","21504.36","30.001","/opt/auswertung/Raw/ab_dauer_testreihe/apache_benchmark_30s/default/default/go-httpd/target_count_1/repeat_39/1.txt"
"30","default","go-httpd","default","1","1","4","661876","0","22062.25","30.000","/opt/auswertung/Raw/ab_dauer_testreihe/apache_benchmark_30s/default/default/go-httpd/target_count_1/repeat_4/1.txt"
"30","default","go-httpd","default","1","1","40","652095","0","21735.77","30.001","/opt/auswertung/Raw/ab_dauer_testreihe/apache_benchmark_30s/default/default/go-httpd/target_count_1/repeat_40/1.txt"
"30","default","go-httpd","default","1","1","5","653543","0","21784.76","30.000","/opt/auswertung/Raw/ab_dauer_testreihe/apache_benchmark_30s/default/default/go-httpd/target_count_1/repeat_5/1.txt"
"30","default","go-httpd","default","1","1","6","662460","0","22081.26","30.001","/opt/auswertung/Raw/ab_dauer_testreihe/apache_benchmark_30s/default/default/go-httpd/target_count_1/repeat_6/1.txt"
"30","default","go-httpd","default","1","1","7","637212","0","21239.99","30.001","/opt/auswertung/Raw/ab_dauer_testreihe/apache_benchmark_30s/default/default/go-httpd/target_count_1/repeat_7/1.txt"
"30","default","go-httpd","default","1","1","8","644252","0","21475.02","30.000","/opt/auswertung/Raw/ab_dauer_testreihe/apache_benchmark_30s/default/default/go-httpd/target_count_1/repeat_8/1.txt"
"30","default","go-httpd","default","1","1","9","636347","0","21211.07","30.001","/opt/auswertung/Raw/ab_dauer_testreihe/apache_benchmark_30s/default/default/go-httpd/target_count_1/repeat_9/1.txt"
"60","default","go-httpd","default","1","1","1","1297097","0","21618.09","60.001","/opt/auswertung/Raw/ab_dauer_testreihe/apache_benchmark_60s/default/default/go-httpd/target_count_1/repeat_1/1.txt"
"60","default","go-httpd","default","1","1","10","1311296","0","21854.68","60.001","/opt/auswertung/Raw/ab_dauer_testreihe/apache_benchmark_60s/default/default/go-httpd/target_count_1/repeat_10/1.txt"
"60","default","go-httpd","default","1","1","11","1301351","0","21688.64","60.002","/opt/auswertung/Raw/ab_dauer_testreihe/apache_benchmark_60s/default/default/go-httpd/target_count_1/repeat_11/1.txt"
"60","default","go-httpd","default","1","1","12","1313948","0","21899.07","60.000","/opt/auswertung/Raw/ab_dauer_testreihe/apache_benchmark_60s/default/default/go-httpd/target_count_1/repeat_12/1.txt"
"60","default","go-httpd","default","1","1","13","1299452","0","21657.48","60.000","/opt/auswertung/Raw/ab_dauer_testreihe/apache_benchmark_60s/default/default/go-httpd/target_count_1/repeat_13/1.txt"
"60","default","go-httpd","default","1","1","14","1300008","0","21666.28","60.001","/opt/auswertung/Raw/ab_dauer_testreihe/apache_benchmark_60s/default/default/go-httpd/target_count_1/repeat_14/1.txt"
"60","default","go-httpd","default","1","1","15","1305767","0","21762.48","60.001","/opt/auswertung/Raw/ab_dauer_testreihe/apache_benchmark_60s/default/default/go-httpd/target_count_1/repeat_15/1.txt"
"60","default","go-httpd","default","1","1","16","1306875","0","21780.79","60.001","/opt/auswertung/Raw/ab_dauer_testreihe/apache_benchmark_60s/default/default/go-httpd/target_count_1/repeat_16/1.txt"
"60","default","go-httpd","default","1","1","17","1291875","0","21531.00","60.001","/opt/auswertung/Raw/ab_dauer_testreihe/apache_benchmark_60s/default/default/go-httpd/target_count_1/repeat_17/1.txt"
"60","default","go-httpd","default","1","1","18","1304523","0","21741.73","60.001","/opt/auswertung/Raw/ab_dauer_testreihe/apache_benchmark_60s/default/default/go-httpd/target_count_1/repeat_18/1.txt"
"60","default","go-httpd","default","1","1","19","1308979","0","21815.93","60.001","/opt/auswertung/Raw/ab_dauer_testreihe/apache_benchmark_60s/default/default/go-httpd/target_count_1/repeat_19/1.txt"
"60","default","go-httpd","default","1","1","2","1321974","0","22032.57","60.001","/opt/auswertung/Raw/ab_dauer_testreihe/apache_benchmark_60s/default/default/go-httpd/target_count_1/repeat_2/1.txt"
"60","default","go-httpd","default","1","1","20","1304196","0","21736.22","60.001","/opt/auswertung/Raw/ab_dauer_testreihe/apache_benchmark_60s/default/default/go-httpd/target_count_1/repeat_20/1.txt"
"60","default","go-httpd","default","1","1","21","1292443","0","21540.27","60.001","/opt/auswertung/Raw/ab_dauer_testreihe/apache_benchmark_60s/default/default/go-httpd/target_count_1/repeat_21/1.txt"
"60","default","go-httpd","default","1","1","22","1297967","0","21632.48","60.001","/opt/auswertung/Raw/ab_dauer_testreihe/apache_benchmark_60s/default/default/go-httpd/target_count_1/repeat_22/1.txt"
"60","default","go-httpd","default","1","1","23","1289808","0","21496.53","60.001","/opt/auswertung/Raw/ab_dauer_testreihe/apache_benchmark_60s/default/default/go-httpd/target_count_1/repeat_23/1.txt"
"60","default","go-httpd","default","1","1","24","1294858","0","21580.91","60.000","/opt/auswertung/Raw/ab_dauer_testreihe/apache_benchmark_60s/default/default/go-httpd/target_count_1/repeat_24/1.txt"
"60","default","go-httpd","default","1","1","25","1295869","0","21597.56","60.001","/opt/auswertung/Raw/ab_dauer_testreihe/apache_benchmark_60s/default/default/go-httpd/target_count_1/repeat_25/1.txt"
"60","default","go-httpd","default","1","1","26","1298962","0","21649.22","60.000","/opt/auswertung/Raw/ab_dauer_testreihe/apache_benchmark_60s/default/default/go-httpd/target_count_1/repeat_26/1.txt"
"60","default","go-httpd","default","1","1","27","1294922","0","21581.52","60.001","/opt/auswertung/Raw/ab_dauer_testreihe/apache_benchmark_60s/default/default/go-httpd/target_count_1/repeat_27/1.txt"
"60","default","go-httpd","default","1","1","28","1303890","0","21731.25","60.001","/opt/auswertung/Raw/ab_dauer_testreihe/apache_benchmark_60s/default/default/go-httpd/target_count_1/repeat_28/1.txt"
"60","default","go-httpd","default","1","1","29","1315683","0","21927.93","60.000","/opt/auswertung/Raw/ab_dauer_testreihe/apache_benchmark_60s/default/default/go-httpd/target_count_1/repeat_29/1.txt"
"60","default","go-httpd","default","1","1","3","1314804","0","21913.29","60.000","/opt/auswertung/Raw/ab_dauer_testreihe/apache_benchmark_60s/default/default/go-httpd/target_count_1/repeat_3/1.txt"
"60","default","go-httpd","default","1","1","30","1297011","0","21616.75","60.000","/opt/auswertung/Raw/ab_dauer_testreihe/apache_benchmark_60s/default/default/go-httpd/target_count_1/repeat_30/1.txt"
"60","default","go-httpd","default","1","1","31","1284283","0","21404.32","60.001","/opt/auswertung/Raw/ab_dauer_testreihe/apache_benchmark_60s/default/default/go-httpd/target_count_1/repeat_31/1.txt"
"60","default","go-httpd","default","1","1","32","1316018","0","21933.08","60.002","/opt/auswertung/Raw/ab_dauer_testreihe/apache_benchmark_60s/default/default/go-httpd/target_count_1/repeat_32/1.txt"
"60","default","go-httpd","default","1","1","33","1315933","0","21932.16","60.000","/opt/auswertung/Raw/ab_dauer_testreihe/apache_benchmark_60s/default/default/go-httpd/target_count_1/repeat_33/1.txt"
"60","default","go-httpd","default","1","1","34","1305348","0","21755.72","60.000","/opt/auswertung/Raw/ab_dauer_testreihe/apache_benchmark_60s/default/default/go-httpd/target_count_1/repeat_34/1.txt"
"60","default","go-httpd","default","1","1","35","1287486","0","21457.86","60.001","/opt/auswertung/Raw/ab_dauer_testreihe/apache_benchmark_60s/default/default/go-httpd/target_count_1/repeat_35/1.txt"
"60","default","go-httpd","default","1","1","36","1302124","0","21701.88","60.001","/opt/auswertung/Raw/ab_dauer_testreihe/apache_benchmark_60s/default/default/go-httpd/target_count_1/repeat_36/1.txt"
"60","default","go-httpd","default","1","1","37","1305101","0","21751.55","60.000","/opt/auswertung/Raw/ab_dauer_testreihe/apache_benchmark_60s/default/default/go-httpd/target_count_1/repeat_37/1.txt"
"60","default","go-httpd","default","1","1","38","1306046","0","21767.26","60.000","/opt/auswertung/Raw/ab_dauer_testreihe/apache_benchmark_60s/default/default/go-httpd/target_count_1/repeat_38/1.txt"
"60","default","go-httpd","default","1","1","39","1305912","0","21765.16","60.000","/opt/auswertung/Raw/ab_dauer_testreihe/apache_benchmark_60s/default/default/go-httpd/target_count_1/repeat_39/1.txt"
"60","default","go-httpd","default","1","1","4","1302661","0","21710.86","60.000","/opt/auswertung/Raw/ab_dauer_testreihe/apache_benchmark_60s/default/default/go-httpd/target_count_1/repeat_4/1.txt"
"60","default","go-httpd","default","1","1","40","1298733","0","21645.42","60.000","/opt/auswertung/Raw/ab_dauer_testreihe/apache_benchmark_60s/default/default/go-httpd/target_count_1/repeat_40/1.txt"
"60","default","go-httpd","default","1","1","5","1281762","0","21362.28","60.001","/opt/auswertung/Raw/ab_dauer_testreihe/apache_benchmark_60s/default/default/go-httpd/target_count_1/repeat_5/1.txt"
"60","default","go-httpd","default","1","1","6","1308629","0","21810.43","60.000","/opt/auswertung/Raw/ab_dauer_testreihe/apache_benchmark_60s/default/default/go-httpd/target_count_1/repeat_6/1.txt"
"60","default","go-httpd","default","1","1","7","1318342","0","21972.26","60.000","/opt/auswertung/Raw/ab_dauer_testreihe/apache_benchmark_60s/default/default/go-httpd/target_count_1/repeat_7/1.txt"
"60","default","go-httpd","default","1","1","8","1312159","0","21869.23","60.000","/opt/auswertung/Raw/ab_dauer_testreihe/apache_benchmark_60s/default/default/go-httpd/target_count_1/repeat_8/1.txt"
"60","default","go-httpd","default","1","1","9","1303632","0","21726.97","60.001","/opt/auswertung/Raw/ab_dauer_testreihe/apache_benchmark_60s/default/default/go-httpd/target_count_1/repeat_9/1.txt"
"90","default","go-httpd","default","1","1","1","1923799","0","21375.19","90.001","/opt/auswertung/Raw/ab_dauer_testreihe/apache_benchmark_90s/default/default/go-httpd/target_count_1/repeat_1/1.txt"
"90","default","go-httpd","default","1","1","10","1964595","0","21828.77","90.000","/opt/auswertung/Raw/ab_dauer_testreihe/apache_benchmark_90s/default/default/go-httpd/target_count_1/repeat_10/1.txt"
"90","default","go-httpd","default","1","1","11","1970589","0","21895.15","90.001","/opt/auswertung/Raw/ab_dauer_testreihe/apache_benchmark_90s/default/default/go-httpd/target_count_1/repeat_11/1.txt"
