"runtime","image_name","ressource_limit","repeat","real_time","user_time","sys_time","filepath"
"runsc","redis-test","max","1","0.796","0.080","0.020","/opt/auswertung/Raw/bench_time_vagrant_results/max/runsc/redis-test/repeat_1/time.txt"
"runsc","tomcat","max","1","0.864","0.099","0.000","/opt/auswertung/Raw/bench_time_vagrant_results/max/runsc/tomcat/repeat_1/time.txt"
"runsc","traefik","max","1","0.779","0.096","0.009","/opt/auswertung/Raw/bench_time_vagrant_results/max/runsc/traefik/repeat_1/time.txt"
"runsc","ubuntu","max","1","1.244","0.093","0.008","/opt/auswertung/Raw/bench_time_vagrant_results/max/runsc/ubuntu/repeat_1/time.txt"
"runnc","go-httpd","min","1","0.737","0.095","0.009","/opt/auswertung/Raw/bench_time_vagrant_results/min/runnc/go-httpd/repeat_1/time.txt"
"runnc","node-express","min","1","1.741","0.093","0.009","/opt/auswertung/Raw/bench_time_vagrant_results/min/runnc/node-express/repeat_1/time.txt"
"runnc","python-tornado","min","1","1.245","0.091","0.013","/opt/auswertung/Raw/bench_time_vagrant_results/min/runnc/python-tornado/repeat_1/time.txt"
"runnc","redis-test","min","1","0.665","0.096","0.005","/opt/auswertung/Raw/bench_time_vagrant_results/min/runnc/redis-test/repeat_1/time.txt"
"runsc","alpine","min","1","0.778","0.103","0.009","/opt/auswertung/Raw/bench_time_vagrant_results/min/runsc/alpine/repeat_1/time.txt"
"runsc","busybox","min","1","1.217","0.086","0.016","/opt/auswertung/Raw/bench_time_vagrant_results/min/runsc/busybox/repeat_1/time.txt"
"runsc","go-httpd","min","1","3.011","0.088","0.017","/opt/auswertung/Raw/bench_time_vagrant_results/min/runsc/go-httpd/repeat_1/time.txt"
"runsc","httpd","min","1","0.718","0.090","0.025","/opt/auswertung/Raw/bench_time_vagrant_results/min/runsc/httpd/repeat_1/time.txt"
"runsc","mongo","min","1","0.768","0.103","0.000","/opt/auswertung/Raw/bench_time_vagrant_results/min/runsc/mongo/repeat_1/time.txt"
"runsc","nginx","min","1","2.238","0.098","0.009","/opt/auswertung/Raw/bench_time_vagrant_results/min/runsc/nginx/repeat_1/time.txt"
"runsc","node-express","min","1","1.706","0.098","0.005","/opt/auswertung/Raw/bench_time_vagrant_results/min/runsc/node-express/repeat_1/time.txt"
"runsc","postgres","min","1","1.771","0.089","0.015","/opt/auswertung/Raw/bench_time_vagrant_results/min/runsc/postgres/repeat_1/time.txt"
"runsc","python-tornado","min","1","1.665","0.090","0.007","/opt/auswertung/Raw/bench_time_vagrant_results/min/runsc/python-tornado/repeat_1/time.txt"
"runsc","redis-test","min","1","0.766","0.099","0.000","/opt/auswertung/Raw/bench_time_vagrant_results/min/runsc/redis-test/repeat_1/time.txt"
"runsc","tomcat","min","1","1.159","0.081","0.017","/opt/auswertung/Raw/bench_time_vagrant_results/min/runsc/tomcat/repeat_1/time.txt"
"runsc","traefik","min","1","1.717","0.086","0.016","/opt/auswertung/Raw/bench_time_vagrant_results/min/runsc/traefik/repeat_1/time.txt"
"runsc","ubuntu","min","1","2.303","0.077","0.038","/opt/auswertung/Raw/bench_time_vagrant_results/min/runsc/ubuntu/repeat_1/time.txt"
