"runtime","image_name","ressource_limit","repeat","gflops","filepath"
"default","linpack","default","1","4.5227e+01","/opt/auswertung/Raw/bench_linpack_vagrant/default/default/linpack/repeat_1/linpack.txt"
"runsc","linpack","default","1","-1.0","/opt/auswertung/Raw/bench_linpack_vagrant/default/runsc/linpack/repeat_1/linpack.txt"
"default","linpack","max","1","4.4780e+01","/opt/auswertung/Raw/bench_linpack_vagrant/max/default/linpack/repeat_1/linpack.txt"
"runsc","linpack","max","1","-1.0","/opt/auswertung/Raw/bench_linpack_vagrant/max/runsc/linpack/repeat_1/linpack.txt"
"default","linpack","min","1","-1.0","/opt/auswertung/Raw/bench_linpack_vagrant/min/default/linpack/repeat_1/linpack.txt"
"runsc","linpack","min","1","-1.0","/opt/auswertung/Raw/bench_linpack_vagrant/min/runsc/linpack/repeat_1/linpack.txt"
